median_house_value,housing_median_age,total_rooms,total_bedrooms,population
66900,15,5612,1283,1015
80100,19,7650,1901,1129
85700,17,720,174,333
73400,14,1501,337,515
65500,20,1454,326,624
74000,29,1387,236,671
82400,25,2907,680,1841
48500,41,812,168,375
58400,34,4789,1175,3134
48100,46,1497,309,787
86500,16,3741,801,2434
62000,21,1988,483,1182
48600,48,1291,248,580
70400,31,2478,464,1346
45000,15,1448,378,949
69100,17,2556,587,1005
94900,28,1678,322,666
25000,21,44,33,64
44000,17,1388,386,775
27500,17,97,24,29
44400,20,1491,360,1135
59200,24,796,243,227
50000,20,350,95,119
71300,15,644,129,137
53500,18,1706,397,3424
100000,34,591,139,327
71100,30,1602,322,1130
80900,14,1276,270,867
68600,32,741,191,623
74300,23,1458,294,866
65800,38,1892,394,1175
67500,35,1263,262,950
146300,16,1136,196,481
113800,19,1087,171,649
95800,19,583,113,531
107800,29,1141,220,684
40000,33,1234,373,777
88500,21,1260,246,805
91200,15,3414,666,2097
102800,19,541,104,457
64000,17,1960,389,1691
84700,29,1523,440,1302
70100,25,2322,573,2185
142500,13,330,72,822
88400,18,3631,913,3565
75500,35,2159,492,1694
43300,32,1995,523,1069
46700,21,1024,218,890
63700,20,1402,287,1104
72700,11,2872,610,2644
42500,30,540,136,122
53400,18,1109,283,1006
60800,38,1327,262,784
58600,32,1615,382,1307
66400,24,1617,366,1416
67500,10,1879,387,1376
79200,18,1715,337,1166
63100,17,1190,275,1113
67700,6,2804,581,2807
40000,12,807,199,246
62200,25,2578,634,2082
70700,35,1583,340,933
60300,34,2231,545,1568
61200,14,1527,325,1453
69400,23,1459,373,1148
96000,17,1697,268,911
60600,27,1513,395,1121
70800,41,2429,454,1188
60400,23,1712,403,1370
143000,33,2266,365,952
80800,24,2565,530,1447
67500,34,1540,316,1013
61000,23,666,142,580
59600,23,1004,221,697
53600,22,565,162,692
84300,5,2652,606,1767
107200,21,2164,480,1164
59400,28,1672,416,1335
63900,25,1311,375,1193
69400,15,1171,328,1024
62500,20,2372,835,2283
58300,18,1178,438,1377
70800,46,2511,490,1583
86200,35,1185,202,615
76200,29,1568,283,848
140300,15,1278,217,653
62300,33,1365,269,825
63500,17,1039,256,728
61100,29,1207,301,804
67500,31,1494,289,959
93800,16,2276,594,1184
